Date	Open	High	Low	Close	Volume
6-Jan-11	127.69	127.83	127.01	127.39	122518970
5-Jan-11	126.58	127.72	126.46	127.64	133975250
4-Jan-11	127.33	127.37	126.19	126.98	137409675
3-Jan-11	126.71	127.6	125.7	127.05	138725191
31-Dec-10	125.53	125.87	125.33	125.75	91270271
30-Dec-10	125.8	126.13	125.53	125.72	76616846
29-Dec-10	125.98	126.2	125.9	125.92	58033036
28-Dec-10	125.9	125.95	125.5	125.83	55309010
27-Dec-10	125.13	125.77	125.04	125.65	58125974
23-Dec-10	-	-	-	125.6	0
22-Dec-10	125.48	125.82	125.41	125.78	78878090
21-Dec-10	124.99	125.47	124.87	125.39	94965438
20-Dec-10	124.64	124.9	123.98	124.6	119085459
17-Dec-10	124.08	124.46	123.82	124.3	141075278
16-Dec-10	124.18	124.91	123.75	124.82	185035177
15-Dec-10	124.44	124.93	123.89	124.1	160823010
14-Dec-10	124.75	125.23	124.29	124.67	147249532
13-Dec-10	125.05	125.2	124.52	124.56	133812609
10-Dec-10	124.14	124.6	123.73	124.48	117571625
9-Dec-10	123.97	124.02	123.15	123.76	123705049
8-Dec-10	122.98	123.38	122.41	123.28	138019177
7-Dec-10	123.94	124.01	122.76	122.83	206580946
6-Dec-10	122.63	123.04	122.5	122.76	103050459
3-Dec-10	122.14	123.03	122.11	122.89	151288823
2-Dec-10	121.2	122.65	121.13	122.56	191213570
1-Dec-10	120.2	121.24	120.19	121.01	221037149
30-Nov-10	117.98	119.17	117.81	118.49	233930639
29-Nov-10	118.5	119.48	117.74	119.16	223642224
26-Nov-10	119.16	119.81	118.8	118.8	76007704
24-Nov-10	-	-	-	120.2	0
23-Nov-10	118.77	119.02	117.99	118.45	222308913
22-Nov-10	119.69	120.24	118.77	120.19	181592166
19-Nov-10	119.9	120.34	119.25	120.29	156852807
18-Nov-10	119.36	120.39	119.35	119.96	197723674
17-Nov-10	118.21	118.71	117.86	118.22	172308826
16-Nov-10	119.29	119.49	117.59	118.16	300331917
15-Nov-10	120.58	121.05	119.98	120.03	163940710
12-Nov-10	120.82	121.35	119.65	120.2	239068789
11-Nov-10	121.05	121.82	120.68	121.64	158017547
10-Nov-10	121.58	122.16	120.66	122.1	221387386
9-Nov-10	122.82	122.95	121.12	121.61	186621575
8-Nov-10	122.34	122.69	121.94	122.49	155901614
5-Nov-10	122.34	122.92	122.18	122.72	180654096
4-Nov-10	121.28	122.32	119.97	122.26	215039313
3-Nov-10	119.68	120.02	118.45	119.95	226702775
2-Nov-10	119.42	119.75	119.1	119.48	158345856
1-Nov-10	119.07	119.75	117.85	118.53	174074708
29-Oct-10	118.28	118.72	118.07	118.49	144305475
28-Oct-10	119.06	119.11	117.83	118.4	168575989
27-Oct-10	117.89	118.51	117.26	118.38	190023965
26-Oct-10	118.1	118.84	117.87	118.72	158982885
25-Oct-10	119.14	119.76	118.61	118.7	151145700
22-Oct-10	118.31	118.53	118	118.35	108212321
21-Oct-10	118.4	119.09	117.21	118.13	221546107
20-Oct-10	116.94	118.44	116.87	117.87	200051747
19-Oct-10	117.19	117.85	116.02	116.73	280604682
18-Oct-10	117.74	118.67	117.31	118.54	141502179
15-Oct-10	118.28	118.35	116.76	117.7	243704938
14-Oct-10	117.81	118.01	116.72	117.46	217764255
13-Oct-10	117.66	118.55	117.38	117.92	194347147
12-Oct-10	116.27	117.35	115.65	117.01	182209984
11-Oct-10	116.72	116.97	116.25	116.65	103098291
